date,comment,sentiment
23/01/2015,mujadara gwangwayyohani mariastsehai mabadiliko vifurushi kawaida yamezingatia gharama halisi uendeshaji taarifa tembele tovuti yetu www tovuti zt0gxxiwly,Neutral
23/01/2015,shilinde jamaa wanaenda mpaka mbps vifurushi data bei zao rafiki kuna changamoto nikianza kusogea nje miji kidogo inaleta shida mfumo laini zao simu haiko supported simu aina zote ujumla nafurahia huduma zao ttcl,Positive
23/01/2015,hamna kitu inauma zaid mapenzi uone sms mpesa ikisindikizwa sms songesha tovuti xlsdplogmb,Negative
24/01/2015,mshambaflan mtandao telecom1 naona bado,Negative
24/01/2015,telecom3 sijawahi kuona huduma mbovu fedha mtandao simu zenu hovyo kabisa,Negative
24/01/2015,telecom2 jibu swali langu vifurushi watoto watakula kweli kusoma siku hizi wanavunja laini mitaan bei zipo mnasema nichague nachagua,Negative
25/01/2015,telecom2 app yenu ilionyesha nina bando kutosha nikaanza interview zoom halafu bando likakata ghafla nimekosa kazi kwaajili yenu tabia kupandisha hovyo hovyo bei vifurushi vyenu mtawakosa wateja ubora wenu tusubiri,Negative
25/01/2015,nilikuwa natumia telecom5 leo nimeweka bando telecom1 naona twitter inatembelea vpn sikujua,Positive
25/01/2015,ulifika wakala mpesa telecom1pesa usiseme nataka kutoa hela sema nataka kulipa kodi kuleta maendele nchi suluhusamia rais wangu tanznaia nchi maendelokwanchiyangu,Neutral
26/01/2015,ttcl kazi ndogo ttcl imewashinda mnataka kuongezewa telecom3 mtaweza,Neutral
26/01/2015,tuseme ukweli telecom1 saiziyako yako mbona naona nawaibia hv ama mawazo yaani mb500 dakika sms jero mbona mnanipendele hv jamanii tovuti gcskpeytix,Positive
26/01/2015,ttcl kifurushi mchanganyiko telecom3 unapata dakika mb nk really,Neutral
27/01/2015,loki mugo songesha watachukua nitabaki sifuri,Negative
27/01/2015,ngo_1 ishu siyo kupata kifurushi tofauti nilivyolipia tatizo wamepunguza ukubwa vifurushi halafu gharama ziko palepale tatizo lilipo,Negative
27/01/2015,chandruok ttcl halafu kampeni kurudi nyumbani ndio line kutegemea ujue umenawa maana kuipata 5kms away other towns kuondoa dsm mtihani,Neutral
28/01/2015,nhiftz mnashidwa kuanzisha huduma automated sms notifications wateja binafsi kuisha vifurushi or bima zao tovuti bab06cr0nl ndugu job ndugai bima yako itakwisha ivyo unaombwa kulipia kurenew kupitia no malipo asante,Neutral
28/01/2015,habari telecom2 huwa mnanitumia maujumbe songesha hamnitumii jumbe kupanda kwenu huduma zeni uli nilivunje hili lilaini lenu niwahame yaani saa hv unapata 700mbs 10min 10sms kweli wizi kutukosea heshima wateja tovuti uxzpmppmai,Negative
28/01/2015,telecom3 tunanunua vifurushi internet hatupati network connection mwisho siku vifurushi vina expire havijatumika wizi mchana,Negative
29/01/2015,serikali iwachunguze telecom2 huduma songesha kuna harufu uwizi wanakata hela deni hawalitoe,Negative
29/01/2015,fadhilymbua1 habari vifurushi saizi yako huwa vinabadilika menyu zetu tunakushauri jiunge vifurushi ambavyo umepatiwa kwasasa menyu laini yako jiunge vifurushi ujanja upande siku wiki shiingi utapata gb1 mwezi,Neutral
29/01/2015,issamwamba una tatizo lolote mtandao wetu telecom1 tujulishe kupitia ukurasa,Neutral
30/01/2015,telecom2 ifike mahali nyinyi telecom2 muache kutuwajibisha wateja wenu kisingizio matatizo kimtandao imenitokea jana kutumia huduma yenu songesha it s not fair,Negative
30/01/2015,mheshimiwa hebu tusaidie kidogo unajua kabisa serekali kupitia wizara yako inajitahidi kuinua technology nchini kuwekeza both technology renovations and innovations itawezekanaje iwapo gharama vifurushi zinakuwa namna nnauye nape tovuti fhocec6hdx,Negative
30/01/2015,telecom1 telecom1pesa yenu wazembe,Negative
31/01/2015,telecom1 yaan telecom1 mnazingua mkiona mteja kifurushi kimoja several time mnabadilisha kwakudhani anayo hela mnazingua mno mtandao ovyo kabisa,Negative
31/01/2015,telecom1 d lusekelo mbona wakala telecom1pesa wanagoma kutuma pesa kwny namba zetu telecom3,Neutral
31/01/2015,yaani mtandao kisenge umalaya toka serikali itangaze vifurushi virudi mwanzo hawataki kurudisha mfunge telecom1pesa zenu maana sie huko tumehama kabsa wacha twende ttclcorporation kumenoga telecom5tz mkiacha umalaya wenu mtwambie tovuti og9tgos35k,Negative
01/02/2015,telecom1 inakuaje mnabadilisha vifurushi kimyakimya hayo mabundle mna import ukraine,Negative
01/02/2015,pin worm habari kwasasa tuna huduma mastercard huduma inakuwezesha kulipia bidhaa huduma ulizonunua kupitia wakala lipa telecom1pesa kutumia mashine ambayo utaweza kuscan barcode huduma rahisi salama,Neutral
01/02/2015,mrfreesoul02 pole tunakushauri kuendelea matumizi vifurushi vilivyopo menyu yakifanyika mabadiliko tutakujulisha ahsante hm,Neutral
02/02/2015,mangiwakwanza kire kifurushi telecom5 kimepanda ndio maana anasikilizia,Negative
02/02/2015,idrissultan me nimepata jana dah nimepunguza kidogo songesha,Negative
02/02/2015,kijangag tulivyowasiliana simu tatizo limeshaisha unaweza kuendelea kufanya muamala wako kutuma pesa telecom1 gl,Neutral
03/02/2015,telecom1 napongeza hatua ulinzi mitandao nami nilishawah wazo hili nilishawai tuma mapendekezo mtandao x pindi nilipo takiwa toa maoni sipo ktk uongoze wowote naisi nikichangia mawazo hayo sio kosa napenda kuwakilisha mawazo haya,Positive
03/02/2015,watanzania milioni wanafanya shughuli zao mitandao intaneti tovuti jxqkxsdehp,Neutral
03/02/2015,kanenamagufa x telecom5 wapi vizuri kuanzia mtandao vifurushi kwani unapata gb kifurushi mwezi unapata gb 10,Positive
04/02/2015,kuhusu usalama fedha zenu wateja telecom3tz msijali mkihanishiwa telecom1pesa usalama upo palepale telecom1telecom3merge tovuti ng6pkwak0y,Neutral
04/02/2015,saiziyako inakupa dakika gb1 sms siku maana siku unatumia tsh ukisema maisha magumu utakuwa umetaka mwenyewe telecom1 ufurahie saiziyako tovuti 9mzsyf0q1e,Positive
04/02/2015,kampuni simu telecom1 uhuru one yaanzisha mfumo mpya mtandao 4g lte blog http dqngzjwbzy,Neutral
05/02/2015,isaac rajab heristarick ataje telecom1pesa namba tufanikishe muamala buku bee chap,Neutral
05/02/2015,drmabula telecom1 kwani limtambo kukamata wezi mtandao bado halijaanza kazi,Neutral
05/02/2015,jamani anayejua jinsi kupata nipige tafu amwambie ronaldinho kanipigia asubuhi asubuhi ananipa salamu messi,Neutral
06/02/2015,neevisionary habari tunaomba utufahamishe unapotumia huduma unapata alama gani e 2g 3g 4g,Neutral
06/02/2015,iamartin simpati nimeongeza bando telecom1,Negative
06/02/2015,millardayo ngo_1 kisingizio sija tumia miezi sita huduma miamala nafanya miezi sita nikiwa nchi nje naomba muongozo kiki muhanga hili limenitokea mtandao telecom3 bora mtu afe ndio line ifungwe kuwe utaratibu pindi mtu anapo kufa ndio wasitishe,Neutral
07/02/2015,telecom1 balozimtaa sio mnapenda kufahama changamoto mfahamu mnazingua siku naona mmeota mapembe mnapunguza bando internet kwanini halafu kuna utofauti bando internet kati mtu mtu kwanini,Negative
07/02/2015,telecom3 yaani telecom3 wamepunguza mbs mpaka wanakera kweli kuhamia ttcl,Negative
07/02/2015,tzniceguy jemsimunisi 4g telecom1 msala itakuaje,Negative
08/02/2015,rt telecom3 hancymachemba kero unanua bando wiki 3g inasoma 2g niko mjini dodoma,Negative
08/02/2015,sihitaji kukumbuka wala kutumia codes natumia mytelecom4app rahisi kununua kuangalia salio kudhibiti matumizi bando telecom2 mytelecom4app wowzi tovuti 6edp1fmz2u,Positive
08/02/2015,wanetu kumbe mesej kupanda vifurushi ua mnatumiwa mko kimya wana siri sanaa,Neutral
09/02/2015,mambo yanayopelekea kukosa haki kidigitali gharama data mitandaonidata digitalrightstz tovuti y6utelctm8,Neutral
09/02/2015,yourfrenchfry tunapewa mtandao telecom1 tuu,Positive
09/02/2015,intaneti telecom5 hovyo kwangu tuu leo,Negative
10/02/2015,ankokijana innocentmlay13 kifurushi mb kinaisha kulingana matumizi yako vyema ukatumia vizuri kifurushi kisiishe haraka asante endelea kufurahia huduma zetu,Neutral
10/02/2015,telecom1pesa jina linasomaje tovuti bcxioebbdv,Neutral
10/02/2015,jamiiforums mi nadhani wabadirishe kauli kununua maongezi maana unanunua harafu huna mamlaka ulichonunua,Neutral
11/02/2015,ukitumia mtandao telecom1 kweli unaenjoy speed iko vizur yaan nateleza yaan sihami,Positive
11/02/2015,songesha wananichukulia poa sikuizi tovuti dpq6mdd7xv,Negative
11/02/2015,millardayo kweli bei vifurusi imepanda kimya kimya mfano nilikua nunua kifurushi dakika kibao giga byets leo nimebadilishiwa vifurushi,Negative
12/02/2015,wananchi wanaakili kwani kutumia mitandao simu telecom1 pesa halo pesa m pesa telecom3 money pesa lazima tangu july nimetafuta njia mbadala nmb tovuti j0pfcyk4ko,Neutral
12/02/2015,telecom2 kagonjifaudhia 1gb 1024mb kwanini mnatupatia vifurushi vyenu hesabu 1gb 1000mb,Neutral
12/02/2015,mariastsehai ukijiungia telecom1pesa mpesa telecom4 watakata,Neutral
13/02/2015,kanenamagufa telecom2 wako vizuri nimezunguka wiki vijijini wenzangu wnalalamika internet niko h napeta sema naona wanadhani tajiri wamenipandishia bei vifurushi telecom1 mtandao kihuni nimefanya nao kazi miaka saba mtandao mbovu balaa,Negative
13/02/2015,unaweza kupata wimbo wangu upintheair caller tune yako mtandao telecom1 tovuti 5ly48buwbl,Neutral
13/02/2015,app telecom1pesa inasumbua kwangu tuu,Negative
14/02/2015,dave taarifa zetu zinatuonyesha salio lako limetumiaka matumizi intaneti nje kifurushi,Neutral
14/02/2015,huntertza lusako jr anatumiaa nipige tafu,Positive
14/02/2015,telecom2 sorry nipate rt ngapi niweze kusamehewa deni langu nipige tafu,Neutral
15/02/2015,telecom2 vanny2020 wababaishaji bando halo telecom3 linatosha,Neutral
15/02/2015,telecom1 ahsante nahitaji kufahamu telecom1pesa kibubu kuna utofauti gani kati telecom1pesa hicho kibubu,Neutral
15/02/2015,telecom3 engnyahucho mnaona vifurushi kufurahia kweli,Negative
16/02/2015,telecom1 muweke kifurushi ofa majobless mtupe mb dakika sms tutatumiana barua posta huko,Negative
16/02/2015,telecom3 nikijiunga bando telecom3 mje mniue,Neutral
16/02/2015,telecom3 mi huwa najiunga kifurushi mwezi kupiga mitandao yote nakuja kujiunga kifurushi sms mwezi mzima ujanja mnaofanya sio poa maana nikijiunga kifurushi kupiga mitandao yote mnanipa sms zikiisha mnakwangua kifurushi changu kinacho jitegemea,Negative
17/02/2015,ngo_1 mulikeni kampuni telecom2 kitu wanafanya uporaji wateja intanet vifurushi tangu juzi intanet haipatikani wanapita vifurushi vyote havijatumika hu uhalifu ngo_1 liangalieni hili,Negative
17/02/2015,tarimojoachim75 kifurushi mb kinaisha kulingana matumizi yako vyema ukaangalia kuna application zozote ambazo zinafanya kazi wewe kufahamu uweze kuzizuia kufanya bando lako likae mrefu,Neutral
17/02/2015,telecom2 nchamaboy telecom4 vifushi vyenu kihuni tunachoshana siku kubadili vifurushi kibabe babe kinachofuata line yanu itafanya kazi kupokea simu ninapigiwa ngoja tuwaungishe mitandao mingine maana mmeishashiba hela tukiongea hamtaki kubadilika,Negative
18/02/2015,telecom3 abubakar mndewa hakuna cku mtu unaunga bando wiki,Negative
18/02/2015,ukiambiwa fananisha ccm mtandao simu lazima utaje telecom1 wateja wengi huduma mbovu mno,Negative
18/02/2015,semboja7 facebooka bure salio wala mb ukiwa laini telecom3,Positive
19/02/2015,gwisa kanjunju we jamaa chukua mkopo songesha ntalipa,Neutral
19/02/2015,mcinikawalamar wanadaiwa songesha wameshidwa kulipa tovuti kxzht7oqeu,Neutral
19/02/2015,swahilitimes sio tunawapa vitambulisho vyetu wakasajili shida ipo ukishasijili mawakala mtandao telecom2 telecom3 telecom1 telecom5 wale mawakala watumia izo namba zetu picha zilizobaki mashine zao kusajilia ngo_1,Negative
20/02/2015,telecom1 gudume telecom1 wahuni kwangu inasoma 4g kufungua picha kb tatzo yaani h telecom5 iko fasta kuliko 4g telecom1,Negative
20/02/2015,yangasc1935 kweny kulipia mtandao telecom3 mbona sijauona,Neutral
20/02/2015,songesha muwe m pawa mtu mpaka mtu alipe mwenyewe sio mnakata mnaharibu bajeti,Negative
21/02/2015,telecom2 huduma nipige tafu inasema niwe nimetumia laini siku laini mbona inazaidi hizo siku,Neutral
21/02/2015,mtandao telecom5 kunufaisha shule http ng8jfdzrcb,Positive
21/02/2015,mnadhani demand vifurushi intaneti iko inelastic itawacost,Negative
22/02/2015,telecom1 4g halafu ukifunguaa kitu inaload tuuuu ina play kidogo then ina load,Negative
22/02/2015,telecom1 mnajua sio mpk nielezee yaan vifurush 1gb sio level yetu turudishe zamn 1gb siku sh kwan tatizo nn jmn mbn simple nahama mtandao,Negative
22/02/2015,ttclcorporation yani mitandao unajua hamko siriasi kabisa mbona menyu yenu hakuna kulipia bandle tpesa kwann,Negative
23/02/2015,iam venga joxeesetth spana konki relax broo mbona unatumia nguvu kunielewesha nimeuliza swali ww ulivyouliza n nan anaweza kukusaidia sikia nakusaidia broo nenda wakala telecom1 rusha watahamisha iyo pesa uwaambie utawaachia kias kdg simple,Neutral
23/02/2015,wataalamu mtandao nikitaka telecom1 internet iwe haraka pale access point names natakiwa niandikeje,Neutral
23/02/2015,telecom2 kwanza unisaidie niweze kukopa mpawa songeshanampesa nipigetafu tayari,Neutral
24/02/2015,telecom1 amijayimani donvittolo napata 4g network nyingi mbovu hasa usiku yaan bando usiku ata silitumii mpaka mb zinaisha mda ake hebu angalieni watumiaji tumeongezeka angalieni namna kuongeza nguvu,Negative
24/02/2015,hamia telecom1 mambo yameshakuwa makubwa huko wajanja tumehamia telecom1 mtandao wenye ofa nyingi nguvu tovuti pfzjkejut8,Positive
24/02/2015,telecom1 wakala telecom1 laini yenu mtu akitoa ela kumwekea mtu pesa hairudishi sms kwanini,Neutral
25/02/2015,telecom1 inasoma 4g sema inakatakata no mnayo,Negative
25/02/2015,iamartin telecom1 ngo_1 suluhusamia nnauye nape wamebadili vifurushi kimya kimya,Negative
25/02/2015,telecom3 am fed up hizi asante msg zenu your network is taking advantage of people mtu anaweka kifurushi mwez sms siku tatu kimeisha how siko stage katiwa kichumbiwa saa msg jana mkashake mtandao wenu tunajunga hewa,Negative
26/02/2015,kajanja1 telecom2 wanazingua balaaa telecom4 nilishawahama kupiga call nimejisitiri telecom1 kwani nilikuwa nikinunua kifurushi maongezi mwezi bei fulani wanapunguza bei ile ile niachana nao nikabaki bundle nako wanapunguza gharama zao sio stable,Negative
26/02/2015,telecom1 mbona huduma zenu telecom1pesa zinasumbua tangu jana hakuna taarifa yoyote,Negative
26/02/2015,mtandao telecom1 bhana leo nmepigiwa simu namba ngen ile napokea nikasikia saut msichana analia tovuti furh1i1o1w,Negative
27/02/2015,boipapy telecom3 hamia telecom4 ttcl yenyew ukitoka kidgo haipatkan,Negative
27/02/2015,telecom1 inakuwaje kifurushi nimepewa matumiz wiki mbili wakat mmeniambia mwez nitakua napokea gb 5,Neutral
27/02/2015,telecom2 yaan telecom4 mnakera nn vifurushi siku vinashuka telecom2,Negative
28/02/2015,kumbe hauwezi mnunulia mtu maongezi telecom2 telecom1 imekuwaje tovuti ghpp7y9aya,Negative
28/02/2015,yaan page mtandao telecom1 ukicomment ukicheka utaambiwa tukusaidie nadhan pinduapindua inafanya maajabu,Neutral
28/02/2015,telecom1 hivii vifurushi size size yenu,Neutral
01/03/2015,marekamalili telecom1 nikijunga kifurushi mb masaa matano mengi nikijunga 350mb telecom5 natamba aslay telecom1 kuna namna wanafanya then wanajicha kivuli kifurushi kinaisha kutokana matumizi yako,Negative
01/03/2015,telecom3 mbona mmebadilika gafla ivi mna maana gan kusema bando 500mb 24hrs kweli wakutufanyia tovuti azzrncfbpf,Negative
01/03/2015,jamiiforums telecom1 maoni ngo_1 waangalie mtumiaji mtandao tangu ameanza kutumia waturudishie kilichozidi maana siyo chao sheria ifuate mkondo tunaumia sisi hali hatua zichukuliwe kinyume sheria nchi tupewe kwanza mrejesho wetu basiiiii,Neutral
02/03/2015,telecom1 lalykillerjr acheni kujitetea hakuna asiejua kua matumizi yanachangia kifurushi kuisha mmezingua tangu juzi natafuta vifurushi nilivyozoea kujiunga sikupata,Negative
02/03/2015,messizlulu upembani wakala telecom4 shida,Negative
02/03/2015,telecom3 ahsante angalieni mtandao wenu intanet mzito mno vifurushi vyenu nimevipenda sihami humu,Positive
03/03/2015,vifurushi vipya internet kuperuzi tumeongeza vifurushi vipya internet kukuwezesha kuperuzi mtandaoni piga tumia telecom1 pesa app kununua kifurushi chako pendwa tovuti jvqd71krnv,Neutral
03/03/2015,telecom1 turudishieni vifurushi mnataka kuua mtandao wenu hizo elfu elfu hatuna mmekusudia sahivi vifurushi vyenu watumie hali,Negative
03/03/2015,telecom5tz mtandao telecom5 mtaani kwetu lugara morogoro mjini unasuasua fanyeni mpango mtuletee mnara sisi tujidai vizuri zamani tulikuwa hatuna umeme toka mwaka mwanzoni wametulea tufikirieni mnara,Negative
04/03/2015,telecom1 sawa nashukuru vifurushi usiku mwakani muweke,Positive
04/03/2015,ukituma sh nmb telecom1pesa unakatwa sh 1k yani makato,Negative
04/03/2015,okay naona mmegoma adi kuitikia salamu mtandao wenu umekuwa mbovu ajabu siku telecom3 tovuti dku9kxwh15,Negative
05/03/2015,ngo_1 marekamalili mtandao telecom4 hakuna kilichobadilika mpaka nadhani ufuatiliaji hili unatakiwa tamko mtatoa vifurushi vitabaki,Neutral
05/03/2015,telecom2 ivi mna mnazani mtu tajili sisi walala hoi haya natamka jina yesu shusheni vifurushi haraka iwezekanavyo in the name of jesus telecom2,Negative
05/03/2015,telecom3 aiseeeeh ndio kupata embu shusheni bei vifurushi,Negative
06/03/2015,washenzi hili deni nipige tafu silipi ng o,Negative
06/03/2015,nyuki malkia utouhcoyg11 unataka m pesa telecom4,Neutral
06/03/2015,vee victoria telecom1 mtandao pekee wenye vifurushi bei nafuu kifurushi asubuh alichachi,Positive
07/03/2015,aldodo songesha wanasonga,Positive
07/03/2015,victorlegend weka telecom1pesa,Neutral
07/03/2015,telecom1 ezzy wix mtandao miamala pesa unasumbua leo jioni 2020,Negative
08/03/2015,enemy lipa maden songesha bro mbn msgs nying hvo,Neutral
08/03/2015,viatteltz mnatatzo gani jaman mbona tunanunua bando internet hakuna network kabsa internet inashindwa kutuma twiti kawaida jamani mnazidiwa kasi telecom4 nitawahama nirudi ttcl,Negative
08/03/2015,sadicknasra kuwarahisishia wateja wetu tumefanya mabadiliko baadhi vifurushi kuondoa baadhi vinavyofanana pa,Neutral
09/03/2015,telecom1 mnachotufanyia sio unakulaje hela mteja huduma kifedha anayotaka imkwama kwasababu mtandao wenu kutokupatikana alafu mmset mfumo wateja wasiongee mhudumu sis sio wajinga tovuti g3tipbbogr,Negative
09/03/2015,miko mwaijele mteja 800mhz band anaweza kupata 4g telecom1,Neutral
09/03/2015,wajanja tunacheki movie kukwama tukiwa mtandao supa wenye kasi 4g tuna gb zakutosha toka kifurushi jimwage data piga kujiunga wajanjapopote mtandaosupa tovuti 0jncziqv2w,Neutral
10/03/2015,baker crispy bakari ally kifurushi hiko ulikua unajiunga saizi yako ama ofa maalumu ama ujanja ofa saizi yako bado kuna vifurushi bei unaweza kutembelea menyu,Neutral
10/03/2015,telecom1 4g pekee,Neutral
